work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2024,EN,FT,Data Scientist,137000,US,0,US,M
2024,EN,FT,Data Analyst,57737,US,100,US,M
2024,EN,FT,Data Engineer,177880,US,0,US,L
2024,EN,FT,Research Analyst,90000,US,0,US,M
2024,EN,FT,Consultant,118500,US,0,US,M
2024,EN,FT,Data Analyst,110400,US,100,US,M
2024,EN,FT,Data Analyst,112000,US,0,US,M
2024,EN,FT,Data Analyst,52500,US,0,US,M
2024,EN,FT,Machine Learning Engineer,145000,US,0,US,M
2024,EN,FT,Data Specialist,31000,US,100,US,M
2024,EN,FT,Data Analyst,170500,US,0,US,M
2024,EN,FT,Data Scientist,125500,US,0,US,M
2024,EN,FT,Data Analyst,85000,US,0,US,M
2024,EN,FT,Data Analyst,93500,US,100,US,M
2024,EN,FT,Data Analyst,90000,US,0,US,M
2024,EN,FT,Research Scientist,337250,US,0,US,M
2024,EN,FT,Data Reporting Analyst,50200,US,0,US,M
2024,EN,FT,Data Analyst,82000,US,0,US,M
2024,EN,FT,Business Intelligence Analyst,101080,US,0,US,M
2024,EN,FT,Software Engineer,139650,US,0,US,M
2024,EN,FT,Data Engineer,175100,US,0,US,M
2024,EN,FT,DevOps Engineer,129792,US,0,US,M
2024,EN,FT,Data Analyst,61560,US,0,US,M
2024,EN,FT,Business Intelligence Analyst,140000,US,0,US,M
2024,EN,FT,Business Intelligence Analyst,67000,US,100,US,M
2024,EN,FT,Applied Scientist,174600,US,0,US,M
2024,EN,FT,Data Analyst,172000,US,0,US,M
2024,EN,FT,Data Analyst,80080,US,0,US,M
2024,EN,FT,Data Scientist,154000,US,100,US,M
2024,EN,FT,Analyst,114000,US,0,US,M
2024,EN,FT,Data Analyst,120700,US,100,US,M
2024,EN,FT,Data Analyst,110864,US,0,US,M
2024,EN,FT,Machine Learning Engineer,104500,US,0,US,M
2024,EN,FT,Business Analyst,65000,US,100,US,M
2024,EN,FT,Machine Learning Engineer,68405,US,100,US,M
2024,EN,FT,Software Developer,44000,US,0,US,M
2024,EN,FT,Data Analyst,132673,US,0,US,M
2024,EN,FT,Site Reliability Engineer,276000,US,0,US,M
2024,EN,FT,Data Analyst,59976,US,0,US,M
2024,EN,FT,Data Analyst,70000,US,0,US,M
2024,EN,FT,Data Scientist,44850,US,100,US,M
2024,EN,FT,Machine Learning Engineer,129960,US,0,US,M
2024,EN,FT,Software Engineer,144000,US,0,US,M
2024,EN,FT,Business Intelligence Analyst,63444,US,0,US,M
2024,EN,FT,Data Analyst,150200,US,0,US,M
2024,EN,FT,Software Engineer,39500,US,0,US,M
2024,EN,FT,Research Analyst,300000,US,0,US,M
2024,EN,FT,Data Analyst,98000,US,100,US,M
2024,EN,FT,Data Analyst,80000,US,0,US,M
2024,EN,FT,Data Analyst,92000,US,100,US,M
2024,EN,FT,Data Analyst,70000,US,100,US,M
2024,EN,FT,Machine Learning Engineer,137750,US,0,US,M
2024,EN,FT,Data Analyst,77000,US,0,US,M
2024,EN,FT,Data Reporting Analyst,59513,US,0,US,M
2024,EN,FT,Analyst,50000,US,0,US,M
2024,EN,FT,Data Scientist,135000,US,0,US,M
2024,EN,FT,Data Analyst,64600,US,0,US,M
2024,EN,FT,Data Scientist,86200,US,0,US,M
2024,EN,FT,Data Analyst,172000,US,0,US,M
2024,EN,FT,Research Scientist,81075,US,0,US,M
2024,EN,FT,Data Scientist,110000,US,0,US,M
2024,EN,FT,Business Analyst,120037,US,0,US,M
2024,EN,FT,Data Analyst,84000,US,0,US,M
2024,EN,FT,Business Intelligence Developer,145200,US,100,US,M
2024,EN,FT,Software Engineer,106590,US,0,US,M
2024,EN,FT,Product Manager,39500,US,0,US,M
2024,EN,FT,Machine Learning Engineer,237500,US,0,US,M
2024,EN,FT,Business Intelligence Analyst,106400,US,0,US,M
2024,EN,FT,Data Scientist,175100,US,0,US,M
2024,EN,FT,Research Analyst,57000,US,100,US,M
2024,EN,FT,Engineer,264200,US,0,US,M
2024,EN,FT,Research Analyst,80000,US,0,US,M
2024,EN,FT,Business Intelligence Analyst,94350,US,0,US,M
2024,EN,FT,Data Analyst,150000,US,0,US,M
2024,EN,FT,Data Analyst,150000,US,100,US,M
2024,EN,FT,Data Analyst,90000,US,100,US,M
2024,EN,FT,Data Analyst,60000,US,0,US,M
2024,EN,FT,Data Analyst,140800,US,0,US,M
2024,EN,FT,Data Analyst,66900,US,0,US,M
2024,EN,FT,Data Analyst,88200,US,100,US,M
2024,EN,FT,Software Engineer,96000,US,0,US,M
2024,EN,FT,Data Analyst,60000,US,0,US,M
2024,EN,FT,Machine Learning Engineer,112000,US,0,US,M
2024,EN,FT,Data Analyst,177076,US,100,US,M
2024,EN,FT,Machine Learning Engineer,110000,US,0,US,M
2024,EN,FT,Software Engineer,82000,US,0,US,M
2024,EN,FT,Analyst,65000,US,0,US,M
2024,EN,FT,Data Reporting Analyst,43920,US,0,US,M
2024,EN,FT,Data Analyst,111894,US,0,US,M
2024,EN,FT,Data Analyst,166600,US,0,US,M
2024,EN,FT,Consultant,71800,US,0,US,M
2024,EN,FT,Data Analyst,49400,US,0,US,M
2024,EN,FT,BI Analyst,90000,US,100,US,M
2024,EN,FT,Data Analyst,129000,US,0,US,M
2024,EN,FT,Data Analyst,83940,US,100,US,M
2024,EN,FT,Data Governance Analyst,118765,US,100,US,M
2024,EN,FT,Data Analyst,49148,US,100,US,M
2024,EN,FT,Data Analyst,165700,US,0,US,M
2024,EN,FT,Data Engineer,106000,US,0,US,M
2024,EN,FT,Data Analyst,140000,US,0,US,M
2024,MI,FT,Engineer,122000,US,0,US,M
2024,MI,FT,Software Engineer,96400,US,0,US,M
2024,MI,FT,Data Scientist,110000,US,100,US,M
2024,MI,FT,Data Scientist,172000,US,0,US,M
2024,MI,FT,Data Scientist,135000,US,100,US,M
2024,MI,FT,Research Scientist,177000,US,0,US,M
2024,MI,FT,BI Developer,104960,US,0,US,M
2024,MI,FT,Data Engineer,100000,US,100,US,M
2024,MI,FT,Data Engineer,180000,US,100,US,M
2024,MI,FT,Applied Scientist,136000,US,0,US,L
2024,MI,FT,Data Engineer,98300,US,0,US,M
2024,MI,FT,Software Engineer,297000,US,0,US,M
2024,MI,FT,Engineer,100000,US,0,US,M
2024,MI,FT,Manager,300000,US,0,US,M
2024,MI,FT,Software Engineer,276000,US,0,US,M
2024,MI,FT,Software Engineer,95000,US,0,US,M
2024,MI,FT,Data Analyst,55000,US,100,US,M
2024,MI,FT,Applied Scientist,136000,US,0,US,L
2024,MI,FT,Data Engineer,209000,US,0,US,M
2024,MI,FT,Data Scientist,99700,US,0,US,M
2024,MI,FT,Software Engineer,147200,US,0,US,M
2024,MI,FT,Data Scientist,120000,US,100,US,M
2024,MI,FT,Data Scientist,211000,US,0,US,M
2024,MI,FT,Applied Scientist,98300,US,0,US,M
2024,MI,FT,Analyst,137000,US,0,US,M
2024,MI,FT,Backend Engineer,164200,US,100,US,M
2024,MI,FT,Engineer,182000,US,0,US,M
2024,MI,FT,AI Developer,141400,US,0,US,M
2024,MI,FT,Software Engineer,145900,US,0,US,M
2024,MI,FT,Data Scientist,127000,US,0,US,M
2024,MI,FT,Data Engineer,178090,US,100,US,M
2024,MI,FT,Business Intelligence Engineer,172000,US,0,US,M
2024,MI,FT,Site Reliability Engineer,194750,US,0,US,M
2024,MI,FT,Data Engineer,105700,US,0,US,L
2024,MI,FT,Data Governance Analyst,87607,US,0,US,M
2024,MI,FT,Data Scientist,75600,US,0,US,M
2024,MI,FT,Manager,530000,US,0,US,M
2024,MI,FT,Data Scientist,154660,US,0,US,M
2024,MI,FT,Software Engineer,90950,US,0,US,M
2024,MI,FT,Data Product Manager,246400,US,0,US,M
2024,MI,FT,Data Scientist,395000,US,0,US,M
2024,MI,FT,AI Engineer,212000,US,0,US,M
2024,MI,FT,Data Analyst,260000,US,0,US,M
2024,MI,FT,Data Engineer,124700,US,0,US,M
2024,MI,FT,Associate,91665,US,0,US,M
2024,MI,FT,Software Engineer,112500,US,0,US,M
2024,MI,FT,Machine Learning Engineer,130000,US,0,US,M
2024,MI,FT,Associate,189000,US,0,US,M
2024,MI,FT,Associate,115800,US,0,US,M
2024,MI,FT,Engineer,143100,US,0,US,M
2024,MI,FT,Software Engineer,160000,US,0,US,M
2024,MI,FT,Data Scientist,150000,US,0,US,M
2024,MI,FT,Manager,110000,US,0,US,M
2024,MI,FT,Data Scientist,173000,US,0,US,M
2024,MI,FT,Engineer,252000,US,0,US,M
2024,MI,FT,Engineer,235000,US,0,US,M
2024,MI,FT,Full Stack Developer,138000,US,0,US,L
2024,MI,FT,Engineer,162000,US,0,US,M
2024,MI,FT,Machine Learning Engineer,143100,US,0,US,M
2024,MI,FT,Data Engineer,169000,US,0,US,M
2024,MI,FT,Data Specialist,114400,US,0,US,M
2024,MI,FT,Product Manager,156864,US,0,US,M
2024,MI,FT,Software Engineer,240240,US,0,US,M
2024,MI,FT,Software Engineer,185495,US,0,US,M
2024,MI,FT,Associate,75000,US,0,US,M
2024,MI,FT,Data Engineer,246552,US,0,US,M
2024,MI,FT,Software Engineer,200000,US,0,US,M
2024,MI,FT,Data Engineer,469000,US,0,US,M
2024,MI,FT,AI Developer,185000,US,0,US,M
2024,MI,FT,Research Engineer,173000,US,0,US,M
2024,MI,FT,Cloud Database Engineer,88125,US,100,US,M
2024,MI,FT,Software Engineer,200200,US,0,US,M
2024,MI,FT,Product Manager,175000,US,0,US,M
2024,MI,FT,Engineer,187000,US,0,US,M
2024,MI,FT,Associate,55000,US,100,US,M
2024,MI,FT,Research Scientist,178360,US,0,US,M
2024,MI,FT,Analytics Engineer,100000,US,100,US,M
2024,MI,FT,Research Scientist,122200,US,0,US,M
2024,MI,FT,Associate,106500,US,0,US,M
2024,MI,FT,Data Scientist,201400,US,0,US,M
2024,MI,FT,AI Engineer,75600,US,0,US,M
2024,MI,FT,Data Scientist,165500,US,0,US,M
2024,MI,FT,Manager,187000,US,0,US,L
2024,MI,FT,Data Analyst,95000,US,0,US,M
2024,MI,FT,Associate,247610,US,0,US,M
2024,MI,FT,Data Scientist,272700,US,100,US,M
2024,MI,FT,Data Specialist,68500,US,100,US,M
2024,MI,FT,Associate,134198,US,0,US,M
2024,MI,FT,Machine Learning Engineer,194000,US,0,US,M
2024,MI,FT,Data Analytics Manager,144640,US,0,US,M
2024,MI,FT,Associate,175000,US,0,US,M
2024,MI,FT,Software Engineer,186000,US,0,US,M
2024,MI,FT,Data Engineer,73000,US,0,US,M
2024,MI,FT,Data Scientist,220000,US,0,US,M
2024,MI,FT,Prompt Engineer,240960,US,0,US,M
2024,MI,FT,AI Engineer,166000,US,0,US,M
2024,MI,FT,Software Engineer,225000,US,0,US,M
2024,MI,FT,Business Intelligence Engineer,185000,US,0,US,L
2024,MI,FT,Software Engineer,176386,US,0,US,M
2024,MI,FT,Manager,100000,US,100,US,M